alg: PPO_no_potential, n_uav: 9, n_gts: 10, reward_avg: -247.58
alg: DDPG_potential, n_uav: 9, n_gts: 10, reward_avg: -264.11
alg: PPO_no_potential, n_uav: 9, n_gts: 10, reward_avg: -250.39
alg: DDPG_no_potential, n_uav: 9, n_gts: 10, reward_avg: -265.80
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 10, reward_avg: -234.63
alg: PPO_no_potential, n_uav: 9, n_gts: 20, reward_avg: -469.97
alg: DDPG_potential, n_uav: 9, n_gts: 20, reward_avg: -503.30
alg: PPO_no_potential, n_uav: 9, n_gts: 20, reward_avg: -501.13
alg: DDPG_no_potential, n_uav: 9, n_gts: 20, reward_avg: -499.29
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 20, reward_avg: -477.17
alg: PPO_no_potential, n_uav: 9, n_gts: 30, reward_avg: -659.90
alg: DDPG_potential, n_uav: 9, n_gts: 30, reward_avg: -762.34
alg: PPO_no_potential, n_uav: 9, n_gts: 30, reward_avg: -674.22
alg: DDPG_no_potential, n_uav: 9, n_gts: 30, reward_avg: -734.72
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 30, reward_avg: -649.96
alg: PPO_no_potential, n_uav: 9, n_gts: 40, reward_avg: -868.38
alg: DDPG_potential, n_uav: 9, n_gts: 40, reward_avg: -880.82
alg: PPO_no_potential, n_uav: 9, n_gts: 40, reward_avg: -884.51
alg: DDPG_no_potential, n_uav: 9, n_gts: 40, reward_avg: -848.26
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 40, reward_avg: -862.42
alg: PPO_no_potential, n_uav: 9, n_gts: 50, reward_avg: -1163.13
alg: DDPG_potential, n_uav: 9, n_gts: 50, reward_avg: -1089.95
alg: PPO_no_potential, n_uav: 9, n_gts: 50, reward_avg: -1035.99
alg: DDPG_no_potential, n_uav: 9, n_gts: 50, reward_avg: -1025.83
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 50, reward_avg: -1114.46
alg: PPO_no_potential, n_uav: 9, n_gts: 60, reward_avg: -1221.12
alg: DDPG_potential, n_uav: 9, n_gts: 60, reward_avg: -1241.07
alg: PPO_no_potential, n_uav: 9, n_gts: 60, reward_avg: -1194.40
alg: DDPG_no_potential, n_uav: 9, n_gts: 60, reward_avg: -1205.09
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 60, reward_avg: -1199.54
alg: PPO_no_potential, n_uav: 9, n_gts: 70, reward_avg: -1469.07
alg: DDPG_potential, n_uav: 9, n_gts: 70, reward_avg: -1501.24
alg: PPO_no_potential, n_uav: 9, n_gts: 70, reward_avg: -1463.44
alg: DDPG_no_potential, n_uav: 9, n_gts: 70, reward_avg: -1483.20
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 70, reward_avg: -1452.02
alg: PPO_no_potential, n_uav: 9, n_gts: 80, reward_avg: -1766.71
alg: DDPG_potential, n_uav: 9, n_gts: 80, reward_avg: -1700.18
alg: PPO_no_potential, n_uav: 9, n_gts: 80, reward_avg: -1717.54
alg: DDPG_no_potential, n_uav: 9, n_gts: 80, reward_avg: -1642.96
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 80, reward_avg: -1617.00
alg: PPO_no_potential, n_uav: 9, n_gts: 90, reward_avg: -1841.80
alg: DDPG_potential, n_uav: 9, n_gts: 90, reward_avg: -1850.22
alg: PPO_no_potential, n_uav: 9, n_gts: 90, reward_avg: -1802.03
alg: DDPG_no_potential, n_uav: 9, n_gts: 90, reward_avg: -1817.49
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 90, reward_avg: -1797.24
alg: PPO_no_potential, n_uav: 9, n_gts: 10, reward_avg: -1087.13
alg: DDPG_potential, n_uav: 9, n_gts: 10, reward_avg: -939.53
alg: PPO_no_potential, n_uav: 9, n_gts: 10, reward_avg: -1083.26
alg: DDPG_no_potential, n_uav: 9, n_gts: 10, reward_avg: -861.16
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 10, reward_avg: -865.85
alg: PPO_no_potential, n_uav: 9, n_gts: 20, reward_avg: -1766.03
alg: DDPG_potential, n_uav: 9, n_gts: 20, reward_avg: -1778.07
alg: PPO_no_potential, n_uav: 9, n_gts: 20, reward_avg: -1911.46
alg: DDPG_no_potential, n_uav: 9, n_gts: 20, reward_avg: -1511.34
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 20, reward_avg: -1472.04
alg: PPO_no_potential, n_uav: 9, n_gts: 30, reward_avg: -2547.18
alg: DDPG_potential, n_uav: 9, n_gts: 30, reward_avg: -2583.16
alg: PPO_no_potential, n_uav: 9, n_gts: 30, reward_avg: -2625.80
alg: DDPG_no_potential, n_uav: 9, n_gts: 30, reward_avg: -2297.32
