Time:1, step:0, uav_id:0, uav_pos:[ 50  50 100], uav_lab:0
Time:1, step:0, uav_id:1, uav_pos:[150  50 100], uav_lab:1
Time:1, step:0, uav_id:2, uav_pos:[250  50 100], uav_lab:2
Time:1, step:0, uav_id:3, uav_pos:[ 50 150 100], uav_lab:3
Time:1, step:0, uav_id:4, uav_pos:[150 150 100], uav_lab:4
Time:1, step:0, uav_id:5, uav_pos:[250 150 100], uav_lab:5
Time:1, step:0, uav_id:6, uav_pos:[ 50 250 100], uav_lab:6
Time:1, step:0, uav_id:7, uav_pos:[150 250 100], uav_lab:7
Time:1, step:0, uav_id:8, uav_pos:[250 250 100], uav_lab:8
Time:1, step:1, uav_id:0, uav_pos:[ 55.60198021  58.28358746 100.        ], uav_lab:0
Time:1, step:1, uav_id:1, uav_pos:[159.99622154  50.27486476 100.        ], uav_lab:1
Time:1, step:1, uav_id:2, uav_pos:[259.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:1, uav_id:3, uav_pos:[ 59.85558414 148.30664086 100.        ], uav_lab:3
Time:1, step:1, uav_id:4, uav_pos:[159.8841629  151.51766908 100.        ], uav_lab:4
Time:1, step:1, uav_id:5, uav_pos:[259.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:1, uav_id:6, uav_pos:[ 58.89367199 245.42806387 100.        ], uav_lab:6
Time:1, step:1, uav_id:7, uav_pos:[159.11151981 245.8792944  100.        ], uav_lab:7
Time:1, step:1, uav_id:8, uav_pos:[259.96536541 249.16843879 100.        ], uav_lab:8
Time:1, step:2, uav_id:0, uav_pos:[ 61.00500298  66.6982975  100.        ], uav_lab:0
Time:1, step:2, uav_id:1, uav_pos:[169.99622154  50.27526549 100.        ], uav_lab:1
Time:1, step:2, uav_id:2, uav_pos:[269.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:2, uav_id:3, uav_pos:[ 69.85558414 148.30664261 100.        ], uav_lab:3
Time:1, step:2, uav_id:4, uav_pos:[166.0059104  159.42489374 100.        ], uav_lab:4
Time:1, step:2, uav_id:5, uav_pos:[269.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:2, uav_id:6, uav_pos:[ 68.89367199 245.42805131 100.        ], uav_lab:6
Time:1, step:2, uav_id:7, uav_pos:[169.11151981 245.879258   100.        ], uav_lab:7
Time:1, step:2, uav_id:8, uav_pos:[269.96536541 249.16843577 100.        ], uav_lab:8
Time:1, step:3, uav_id:0, uav_pos:[ 66.40802574  75.11300755 100.        ], uav_lab:0
Time:1, step:3, uav_id:1, uav_pos:[179.99622154  50.27527672 100.        ], uav_lab:1
Time:1, step:3, uav_id:2, uav_pos:[279.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:3, uav_id:3, uav_pos:[ 79.85558414 148.30664436 100.        ], uav_lab:3
Time:1, step:3, uav_id:4, uav_pos:[175.69520235 161.89827764 100.        ], uav_lab:4
Time:1, step:3, uav_id:5, uav_pos:[279.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:3, uav_id:6, uav_pos:[ 78.89367199 245.42805306 100.        ], uav_lab:6
Time:1, step:3, uav_id:7, uav_pos:[179.11151981 245.87925975 100.        ], uav_lab:7
Time:1, step:3, uav_id:8, uav_pos:[279.96536541 249.16843275 100.        ], uav_lab:8
Time:1, step:4, uav_id:0, uav_pos:[ 71.81104851  83.52771759 100.        ], uav_lab:0
Time:1, step:4, uav_id:1, uav_pos:[189.99622154  50.27686276 100.        ], uav_lab:1
Time:1, step:4, uav_id:2, uav_pos:[289.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:4, uav_id:3, uav_pos:[ 89.85558414 148.30664611 100.        ], uav_lab:3
